N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"79,800",800,-0.99%,100,"4,763,886","5,969,783",53.49,"10,782,325",19.16,9.99,
2,SK하이닉스,"121,500","2,000",-1.62%,"5,000","884,523","728,002",49.11,"2,898,638",17.35,9.53,
3,NAVER,"447,000","2,000",-0.45%,100,"734,257","164,263",56.93,"1,242,657",4.55,15.22,
4,카카오,"157,000","2,500",-1.57%,100,"697,803","444,460",31.96,"3,385,574",228.53,2.70,
5,삼성전자우,"72,900",200,-0.27%,100,"599,884","822,887",75.59,"713,233",17.50,N/A,
6,삼성바이오로직스,"899,000","25,000",+2.86%,"2,500","594,823","66,165",10.15,"233,246",224.19,N/A,
7,LG화학,"828,000","10,000",+1.22%,"5,000","584,505","70,592",46.82,"215,077",36.04,2.93,
8,삼성SDI,"749,000","1,000",-0.13%,"5,000","515,046","68,765",43.47,"151,644",73.37,4.54,
9,현대차,"230,000","1,500",-0.65%,"5,000","491,437","213,668",29.33,"465,029",27.83,2.04,
10,셀트리온,"269,000","2,500",+0.94%,"1,000","370,995","137,917",20.38,"561,139",61.71,16.68,
11,기아,"87,100","1,100",-1.25%,"5,000","353,071","405,363",33.50,"1,336,465",15.65,5.05,
12,POSCO,"341,000","5,000",-1.45%,"5,000","297,307","87,187",53.92,"362,071",13.32,3.61,
13,현대모비스,"284,500","2,000",-0.70%,"5,000","269,686","94,793",36.50,"119,489",15.18,4.66,
14,LG생활건강,"1,713,000","14,000",+0.82%,"5,000","267,540","15,618",46.56,"16,928",36.92,17.92,
15,LG전자,"160,500",500,-0.31%,"5,000","262,655","163,648",31.05,"517,931",14.95,13.23,
16,삼성물산,"134,500",0,0.00%,100,"251,363","186,887",14.83,"205,952",16.02,3.81,
17,SK이노베이션,"262,500","4,500",-1.69%,"5,000","242,722","92,466",23.25,"670,675",-24.82,-13.58,
18,SK텔레콤,"322,000","2,000",+0.63%,500,"232,034","72,060",46.17,"110,134",14.83,6.44,
19,KB금융,"52,500",700,+1.35%,"5,000","218,299","415,808",67.69,"1,121,892",5.46,8.53,
20,신한지주,"38,750",50,+0.13%,"5,000","200,182","516,600",60.40,"1,479,410",5.44,8.20,
21,SK,"277,500",500,-0.18%,200,"195,250","70,360",20.20,"101,219",32.32,1.11,
22,엔씨소프트,"839,000","35,000",+4.35%,500,"184,194","21,954",51.45,"215,064",38.96,20.83,
23,HMM,"43,950",850,+1.97%,"5,000","178,170","405,392",10.11,"5,193,000",41.66,8.93,
24,한국전력,"25,050",0,0.00%,"5,000","160,812","641,964",15.44,"1,938,893",7.83,2.91,
25,LG,"98,800",600,-0.60%,"5,000","155,413","157,301",33.35,"293,271",9.07,7.50,
26,삼성생명,"77,300",400,+0.52%,500,"154,600","200,000",13.32,"213,961",7.28,3.53,
27,SK아이이테크놀로지,"213,000","8,500",+4.16%,"1,000","151,864","71,298",7.07,"762,420",N/A,11.00,
28,삼성에스디에스,"185,500","1,000",-0.54%,500,"143,536","77,378",11.93,"95,893",22.81,6.71,
29,아모레퍼시픽,"244,500",500,-0.20%,500,"142,931","58,458",33.70,"88,958",171.10,0.78,
30,삼성전기,"188,500",0,0.00%,"5,000","140,798","74,694",31.71,"500,558",20.74,10.92,
31,하나금융지주,"43,800",0,0.00%,"5,000","131,506","300,242",68.19,"840,676",4.67,8.96,
32,포스코케미칼,"165,000",500,+0.30%,500,"127,814","77,463",8.16,"492,856",198.32,2.96,
33,하이브,"317,500","2,000",-0.63%,500,"123,834","39,003",14.30,"225,619",112.95,12.52,
34,SK바이오사이언스,"158,500","4,000",+2.59%,500,"121,252","76,500",3.52,"486,310",123.15,13.25,
35,넷마블,"140,000","2,000",+1.45%,100,"120,335","85,954",22.95,"429,508",38.08,6.35,
36,KT&G,"83,700",300,+0.36%,"5,000","114,914","137,292",37.65,"263,141",9.97,13.22,
37,S-Oil,"98,800","2,700",-2.66%,"2,500","111,232","112,583",77.74,"642,115",26.84,-13.07,
38,대한항공,"30,900",100,+0.32%,"5,000","107,477","347,821",10.83,"1,243,583",13.21,-7.22,
39,두산중공업,"25,100",950,-3.65%,"5,000","107,347","427,676",8.14,"7,501,736",-14.10,-37.20,
40,삼성화재,"221,500","1,500",+0.68%,500,"104,935","47,375",48.34,"50,568",11.04,4.96,
41,SK바이오팜,"125,500","3,000",-2.33%,500,"98,283","78,313",6.90,"324,700",-182.15,-135.18,
42,롯데케미칼,"270,000","1,500",+0.56%,"5,000","92,544","34,275",26.64,"114,273",12.47,1.22,
43,고려아연,"489,000","6,000",-1.21%,"5,000","92,274","18,870",21.05,"76,063",14.31,8.37,
44,한국조선해양,"126,000","1,500",-1.18%,"5,000","89,174","70,773",17.58,"222,850",-9.64,-7.42,
45,한온시스템,"16,250",0,0.00%,100,"86,742","533,800",18.39,"1,127,721",64.23,5.09,
46,KT,"33,050",50,+0.15%,"5,000","86,297","261,112",44.32,"635,192",11.47,4.76,
47,LG디스플레이,"23,250",300,-1.27%,"5,000","83,192","357,816",19.20,"1,634,751",24.63,-0.79,
48,우리금융지주,"11,350",0,0.00%,"5,000","81,977","722,268",25.75,"1,042,614",5.63,5.87,
49,한화솔루션,"42,850",100,+0.23%,"5,000","81,963","191,278",17.24,"634,245",11.49,5.30,
50,기업은행,"10,450",100,+0.97%,"5,000","77,779","744,301",12.80,"1,402,464",5.12,6.44,
51,현대글로비스,"203,000","3,000",-1.46%,500,"76,125","37,500",35.18,"80,460",13.23,12.45,
52,CJ제일제당,"465,000","4,000",+0.87%,"5,000","70,002","15,054",25.14,"54,828",18.71,13.50,
53,현대제철,"52,400",0,0.00%,"5,000","69,926","133,446",19.96,"548,122",-66.75,-2.59,
54,금호석유,"219,000","1,000",-0.45%,"5,000","66,724","30,468",22.66,"298,999",7.88,20.18,
55,현대건설,"58,400",800,+1.39%,"5,000","65,032","111,356",21.53,"583,523",52.80,1.84,
56,LG유플러스,"14,750",50,-0.34%,"5,000","64,400","436,611",33.44,"969,859",12.43,6.46,
57,SKC,"168,000",500,+0.30%,"5,000","63,619","37,868",13.68,"327,964","-2,666.67",2.21,
58,에스디바이오센서,"61,000","4,000",+7.02%,500,"62,996","103,271",2.23,"18,325,498",9.25,139.97,
59,한국타이어앤테크놀로지,"50,800",600,-1.17%,500,"62,929","123,875",41.89,"183,189",14.00,5.12,
60,미래에셋증권,"9,280",10,+0.11%,"5,000","58,957","635,316",14.12,"738,772",7.39,8.94,
61,한국금융지주,"104,000",500,+0.48%,"5,000","57,955","55,726",33.31,"293,017",4.65,16.27,
62,LG이노텍,"241,000",500,+0.21%,"5,000","57,038","23,667",31.73,"239,428",14.02,10.20,
63,코웨이,"76,800","1,100",-1.41%,500,"56,678","73,800",59.38,"106,478",13.21,31.51,
64,강원랜드,"25,900",100,-0.38%,500,"55,411","213,940",19.41,"546,404",-34.49,-7.92,
65,현대중공업지주,"69,200","1,100",-1.56%,"1,000","54,663","78,993",17.27,"177,178",-24.17,-8.12,
66,한미사이언스,"80,800",500,+0.62%,500,"54,382","67,305",1.79,"144,625",196.59,3.47,
67,아모레G,"62,300",200,+0.32%,500,"51,371","82,458",17.75,"78,216",122.16,0.31,
68,두산밥캣,"47,700","1,000",-2.05%,500,"47,819","100,249",26.06,"198,061",14.52,6.15,
69,오리온,"120,500","1,500",-1.23%,500,"47,641","39,536",39.04,"88,103",17.90,15.50,
70,맥쿼리인프라,"12,400",100,+0.81%,0,"46,152","372,192",14.95,"1,032,436",N/A,N/A,
71,이마트,"161,500","2,500",+1.57%,"5,000","45,019","27,876",32.02,"157,924",11.14,4.05,
72,삼성엔지니어링,"22,850",250,+1.11%,"5,000","44,786","196,000",30.88,"1,233,178",15.82,16.75,
73,한진칼,"65,300",500,+0.77%,"2,500","43,579","66,737",14.95,"88,399",-53.18,-19.55,
74,유한양행,"62,100",100,-0.16%,"1,000","43,453","69,973",18.09,"174,012",45.30,11.06,
75,CJ대한통운,"184,500","1,500",+0.82%,"5,000","42,089","22,812",23.06,"20,500",35.06,3.89,
76,현대차2우B,"114,500","1,000",+0.88%,"5,000","41,776","36,485",61.07,"71,202",13.86,N/A,
77,삼성중공업,"6,580",40,-0.60%,"5,000","41,454","630,000",13.93,"2,998,722",-2.31,-33.06,
78,롯데지주,"39,450",400,+1.02%,200,"41,387","104,909",8.37,"281,266",-96.93,-3.03,
79,삼성카드,"35,500",350,+1.00%,"5,000","41,130","115,859",8.35,"165,861",9.68,5.69,
80,GS,"44,000",500,-1.12%,"5,000","40,883","92,915",19.38,"187,802",6.46,-2.82,
81,KODEX 200,"43,510",185,-0.42%,0,"40,682","93,500",3.66,"1,930,934",N/A,N/A,
82,쌍용C&E,"8,050",10,+0.12%,100,"40,561","503,860",3.52,"405,737",29.38,7.92,
83,한미약품,"334,500","3,000",-0.89%,"2,500","40,402","12,078",13.21,"24,468",172.16,1.65,
84,팬오션,"7,540",30,+0.40%,"1,000","40,307","534,570",10.85,"4,578,809",32.09,3.25,
85,F&F,"525,000","20,000",-3.67%,500,"40,222","7,661",10.32,"40,078",N/A,N/A,
86,DB손해보험,"56,000",100,-0.18%,500,"39,648","70,800",43.47,"139,125",6.40,9.08,
